2018-03-13 23:56:13 startup archives unpack
2018-03-13 23:56:22 status installed gnupg:amd64 2.1.18-8~deb9u1
2018-03-13 23:56:22 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-03-13 23:56:22 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:22 status installed libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:45 startup archives unpack
2018-03-13 23:56:45 install perl-modules-5.24:all <none> 5.24.1-3+deb9u2
2018-03-13 23:56:45 status half-installed perl-modules-5.24:all 5.24.1-3+deb9u2
2018-03-13 23:56:45 status unpacked perl-modules-5.24:all 5.24.1-3+deb9u2
2018-03-13 23:56:45 status unpacked perl-modules-5.24:all 5.24.1-3+deb9u2
2018-03-13 23:56:45 install libgdbm3:amd64 <none> 1.8.3-14
2018-03-13 23:56:45 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:45 status half-installed libgdbm3:amd64 1.8.3-14
2018-03-13 23:56:45 status unpacked libgdbm3:amd64 1.8.3-14
2018-03-13 23:56:45 status unpacked libgdbm3:amd64 1.8.3-14
2018-03-13 23:56:45 install libperl5.24:amd64 <none> 5.24.1-3+deb9u2
2018-03-13 23:56:45 status half-installed libperl5.24:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:46 status unpacked libperl5.24:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:46 status unpacked libperl5.24:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:46 install perl:amd64 <none> 5.24.1-3+deb9u2
2018-03-13 23:56:46 status half-installed perl:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:46 status unpacked perl:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:46 status unpacked perl:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:46 install libpython2.7-minimal:amd64 <none> 2.7.13-2+deb9u2
2018-03-13 23:56:46 status half-installed libpython2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status unpacked libpython2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status unpacked libpython2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 install python2.7-minimal:amd64 <none> 2.7.13-2+deb9u2
2018-03-13 23:56:46 status half-installed python2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status unpacked python2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status unpacked python2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 install python-minimal:amd64 <none> 2.7.13-2
2018-03-13 23:56:46 status half-installed python-minimal:amd64 2.7.13-2
2018-03-13 23:56:46 status unpacked python-minimal:amd64 2.7.13-2
2018-03-13 23:56:46 status unpacked python-minimal:amd64 2.7.13-2
2018-03-13 23:56:46 install mime-support:all <none> 3.60
2018-03-13 23:56:46 status half-installed mime-support:all 3.60
2018-03-13 23:56:46 status unpacked mime-support:all 3.60
2018-03-13 23:56:46 status unpacked mime-support:all 3.60
2018-03-13 23:56:46 install libexpat1:amd64 <none> 2.2.0-2+deb9u1
2018-03-13 23:56:46 status half-installed libexpat1:amd64 2.2.0-2+deb9u1
2018-03-13 23:56:46 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2018-03-13 23:56:46 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2018-03-13 23:56:46 install libpython2.7-stdlib:amd64 <none> 2.7.13-2+deb9u2
2018-03-13 23:56:46 status half-installed libpython2.7-stdlib:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status unpacked libpython2.7-stdlib:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status unpacked libpython2.7-stdlib:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 install python2.7:amd64 <none> 2.7.13-2+deb9u2
2018-03-13 23:56:46 status half-installed python2.7:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status unpacked python2.7:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status unpacked python2.7:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 install libpython-stdlib:amd64 <none> 2.7.13-2
2018-03-13 23:56:46 status half-installed libpython-stdlib:amd64 2.7.13-2
2018-03-13 23:56:46 status unpacked libpython-stdlib:amd64 2.7.13-2
2018-03-13 23:56:46 status unpacked libpython-stdlib:amd64 2.7.13-2
2018-03-13 23:56:46 startup packages configure
2018-03-13 23:56:46 configure libpython2.7-minimal:amd64 2.7.13-2+deb9u2 <none>
2018-03-13 23:56:46 status unpacked libpython2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status unpacked libpython2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status half-configured libpython2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status installed libpython2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 configure python2.7-minimal:amd64 2.7.13-2+deb9u2 <none>
2018-03-13 23:56:46 status unpacked python2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:46 status half-configured python2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:47 status installed python2.7-minimal:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:47 configure python-minimal:amd64 2.7.13-2 <none>
2018-03-13 23:56:47 status unpacked python-minimal:amd64 2.7.13-2
2018-03-13 23:56:47 status half-configured python-minimal:amd64 2.7.13-2
2018-03-13 23:56:47 status installed python-minimal:amd64 2.7.13-2
2018-03-13 23:56:47 startup archives unpack
2018-03-13 23:56:47 install python:amd64 <none> 2.7.13-2
2018-03-13 23:56:47 status half-installed python:amd64 2.7.13-2
2018-03-13 23:56:47 status unpacked python:amd64 2.7.13-2
2018-03-13 23:56:47 status unpacked python:amd64 2.7.13-2
2018-03-13 23:56:47 install libcurl3-gnutls:amd64 <none> 7.52.1-5+deb9u4
2018-03-13 23:56:47 status half-installed libcurl3-gnutls:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:47 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:47 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:47 install liberror-perl:all <none> 0.17024-1
2018-03-13 23:56:47 status half-installed liberror-perl:all 0.17024-1
2018-03-13 23:56:47 status unpacked liberror-perl:all 0.17024-1
2018-03-13 23:56:47 status unpacked liberror-perl:all 0.17024-1
2018-03-13 23:56:47 install git-man:all <none> 1:2.11.0-3+deb9u2
2018-03-13 23:56:47 status half-installed git-man:all 1:2.11.0-3+deb9u2
2018-03-13 23:56:47 status unpacked git-man:all 1:2.11.0-3+deb9u2
2018-03-13 23:56:47 status unpacked git-man:all 1:2.11.0-3+deb9u2
2018-03-13 23:56:47 install git:amd64 <none> 1:2.11.0-3+deb9u2
2018-03-13 23:56:47 status half-installed git:amd64 1:2.11.0-3+deb9u2
2018-03-13 23:56:48 status unpacked git:amd64 1:2.11.0-3+deb9u2
2018-03-13 23:56:48 status unpacked git:amd64 1:2.11.0-3+deb9u2
2018-03-13 23:56:48 install libprocps6:amd64 <none> 2:3.3.12-3
2018-03-13 23:56:48 status half-installed libprocps6:amd64 2:3.3.12-3
2018-03-13 23:56:48 status unpacked libprocps6:amd64 2:3.3.12-3
2018-03-13 23:56:48 status unpacked libprocps6:amd64 2:3.3.12-3
2018-03-13 23:56:48 install libncurses5:amd64 <none> 6.0+20161126-1+deb9u2
2018-03-13 23:56:48 status half-installed libncurses5:amd64 6.0+20161126-1+deb9u2
2018-03-13 23:56:48 status unpacked libncurses5:amd64 6.0+20161126-1+deb9u2
2018-03-13 23:56:48 status unpacked libncurses5:amd64 6.0+20161126-1+deb9u2
2018-03-13 23:56:48 install procps:amd64 <none> 2:3.3.12-3
2018-03-13 23:56:48 status half-installed procps:amd64 2:3.3.12-3
2018-03-13 23:56:48 status unpacked procps:amd64 2:3.3.12-3
2018-03-13 23:56:48 status unpacked procps:amd64 2:3.3.12-3
2018-03-13 23:56:48 install libbsd0:amd64 <none> 0.8.3-1
2018-03-13 23:56:48 status half-installed libbsd0:amd64 0.8.3-1
2018-03-13 23:56:48 status unpacked libbsd0:amd64 0.8.3-1
2018-03-13 23:56:48 status unpacked libbsd0:amd64 0.8.3-1
2018-03-13 23:56:48 install libedit2:amd64 <none> 3.1-20160903-3
2018-03-13 23:56:48 status half-installed libedit2:amd64 3.1-20160903-3
2018-03-13 23:56:48 status unpacked libedit2:amd64 3.1-20160903-3
2018-03-13 23:56:48 status unpacked libedit2:amd64 3.1-20160903-3
2018-03-13 23:56:48 install openssh-client:amd64 <none> 1:7.4p1-10+deb9u3
2018-03-13 23:56:48 status half-installed openssh-client:amd64 1:7.4p1-10+deb9u3
2018-03-13 23:56:48 status unpacked openssh-client:amd64 1:7.4p1-10+deb9u3
2018-03-13 23:56:48 status unpacked openssh-client:amd64 1:7.4p1-10+deb9u3
2018-03-13 23:56:48 install ucf:all <none> 3.0036
2018-03-13 23:56:48 status half-installed ucf:all 3.0036
2018-03-13 23:56:48 status unpacked ucf:all 3.0036
2018-03-13 23:56:48 status unpacked ucf:all 3.0036
2018-03-13 23:56:48 install python-six:all <none> 1.10.0-3
2018-03-13 23:56:48 status half-installed python-six:all 1.10.0-3
2018-03-13 23:56:48 status unpacked python-six:all 1.10.0-3
2018-03-13 23:56:48 status unpacked python-six:all 1.10.0-3
2018-03-13 23:56:48 install python-configobj:all <none> 5.0.6-2
2018-03-13 23:56:48 status half-installed python-configobj:all 5.0.6-2
2018-03-13 23:56:48 status unpacked python-configobj:all 5.0.6-2
2018-03-13 23:56:48 status unpacked python-configobj:all 5.0.6-2
2018-03-13 23:56:48 install python-bzrlib:amd64 <none> 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:48 status half-installed python-bzrlib:amd64 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:48 status unpacked python-bzrlib:amd64 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:48 status unpacked python-bzrlib:amd64 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:48 install bzr:all <none> 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:48 status half-installed bzr:all 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:48 status unpacked bzr:all 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:48 status unpacked bzr:all 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:48 install libapr1:amd64 <none> 1.5.2-5
2018-03-13 23:56:48 status half-installed libapr1:amd64 1.5.2-5
2018-03-13 23:56:48 status unpacked libapr1:amd64 1.5.2-5
2018-03-13 23:56:48 status unpacked libapr1:amd64 1.5.2-5
2018-03-13 23:56:48 install libaprutil1:amd64 <none> 1.5.4-3
2018-03-13 23:56:48 status half-installed libaprutil1:amd64 1.5.4-3
2018-03-13 23:56:48 status unpacked libaprutil1:amd64 1.5.4-3
2018-03-13 23:56:48 status unpacked libaprutil1:amd64 1.5.4-3
2018-03-13 23:56:48 install libjs-excanvas:all <none> 0.r3-4
2018-03-13 23:56:48 status half-installed libjs-excanvas:all 0.r3-4
2018-03-13 23:56:48 status unpacked libjs-excanvas:all 0.r3-4
2018-03-13 23:56:48 status unpacked libjs-excanvas:all 0.r3-4
2018-03-13 23:56:48 install libserf-1-1:amd64 <none> 1.3.9-3
2018-03-13 23:56:48 status half-installed libserf-1-1:amd64 1.3.9-3
2018-03-13 23:56:48 status unpacked libserf-1-1:amd64 1.3.9-3
2018-03-13 23:56:49 status unpacked libserf-1-1:amd64 1.3.9-3
2018-03-13 23:56:49 install libsvn1:amd64 <none> 1.9.5-1+deb9u1
2018-03-13 23:56:49 status half-installed libsvn1:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:49 status unpacked libsvn1:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:49 status unpacked libsvn1:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:49 install mercurial-common:all <none> 4.0-1+deb9u1
2018-03-13 23:56:49 status half-installed mercurial-common:all 4.0-1+deb9u1
2018-03-13 23:56:49 status unpacked mercurial-common:all 4.0-1+deb9u1
2018-03-13 23:56:49 status unpacked mercurial-common:all 4.0-1+deb9u1
2018-03-13 23:56:49 install mercurial:amd64 <none> 4.0-1+deb9u1
2018-03-13 23:56:49 status half-installed mercurial:amd64 4.0-1+deb9u1
2018-03-13 23:56:49 status unpacked mercurial:amd64 4.0-1+deb9u1
2018-03-13 23:56:49 status unpacked mercurial:amd64 4.0-1+deb9u1
2018-03-13 23:56:49 install subversion:amd64 <none> 1.9.5-1+deb9u1
2018-03-13 23:56:49 status half-installed subversion:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:49 status unpacked subversion:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:49 status unpacked subversion:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:49 startup packages configure
2018-03-13 23:56:49 configure libncurses5:amd64 6.0+20161126-1+deb9u2 <none>
2018-03-13 23:56:49 status unpacked libncurses5:amd64 6.0+20161126-1+deb9u2
2018-03-13 23:56:49 status half-configured libncurses5:amd64 6.0+20161126-1+deb9u2
2018-03-13 23:56:49 status installed libncurses5:amd64 6.0+20161126-1+deb9u2
2018-03-13 23:56:49 configure libapr1:amd64 1.5.2-5 <none>
2018-03-13 23:56:49 status unpacked libapr1:amd64 1.5.2-5
2018-03-13 23:56:49 status half-configured libapr1:amd64 1.5.2-5
2018-03-13 23:56:49 status installed libapr1:amd64 1.5.2-5
2018-03-13 23:56:49 configure perl-modules-5.24:all 5.24.1-3+deb9u2 <none>
2018-03-13 23:56:49 status unpacked perl-modules-5.24:all 5.24.1-3+deb9u2
2018-03-13 23:56:49 status half-configured perl-modules-5.24:all 5.24.1-3+deb9u2
2018-03-13 23:56:49 status installed perl-modules-5.24:all 5.24.1-3+deb9u2
2018-03-13 23:56:49 configure libgdbm3:amd64 1.8.3-14 <none>
2018-03-13 23:56:49 status unpacked libgdbm3:amd64 1.8.3-14
2018-03-13 23:56:49 status half-configured libgdbm3:amd64 1.8.3-14
2018-03-13 23:56:49 status installed libgdbm3:amd64 1.8.3-14
2018-03-13 23:56:49 configure libperl5.24:amd64 5.24.1-3+deb9u2 <none>
2018-03-13 23:56:49 status unpacked libperl5.24:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:49 status half-configured libperl5.24:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:49 status installed libperl5.24:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:49 configure git-man:all 1:2.11.0-3+deb9u2 <none>
2018-03-13 23:56:49 status unpacked git-man:all 1:2.11.0-3+deb9u2
2018-03-13 23:56:49 status half-configured git-man:all 1:2.11.0-3+deb9u2
2018-03-13 23:56:49 status installed git-man:all 1:2.11.0-3+deb9u2
2018-03-13 23:56:49 configure libexpat1:amd64 2.2.0-2+deb9u1 <none>
2018-03-13 23:56:49 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2018-03-13 23:56:49 status half-configured libexpat1:amd64 2.2.0-2+deb9u1
2018-03-13 23:56:49 status installed libexpat1:amd64 2.2.0-2+deb9u1
2018-03-13 23:56:49 configure mime-support:all 3.60 <none>
2018-03-13 23:56:49 status unpacked mime-support:all 3.60
2018-03-13 23:56:49 status unpacked mime-support:all 3.60
2018-03-13 23:56:49 status unpacked mime-support:all 3.60
2018-03-13 23:56:49 status half-configured mime-support:all 3.60
2018-03-13 23:56:49 status installed mime-support:all 3.60
2018-03-13 23:56:49 configure libcurl3-gnutls:amd64 7.52.1-5+deb9u4 <none>
2018-03-13 23:56:49 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:49 status half-configured libcurl3-gnutls:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:49 status installed libcurl3-gnutls:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:49 configure libjs-excanvas:all 0.r3-4 <none>
2018-03-13 23:56:49 status unpacked libjs-excanvas:all 0.r3-4
2018-03-13 23:56:49 status half-configured libjs-excanvas:all 0.r3-4
2018-03-13 23:56:49 status installed libjs-excanvas:all 0.r3-4
2018-03-13 23:56:49 configure libbsd0:amd64 0.8.3-1 <none>
2018-03-13 23:56:49 status unpacked libbsd0:amd64 0.8.3-1
2018-03-13 23:56:49 status half-configured libbsd0:amd64 0.8.3-1
2018-03-13 23:56:49 status installed libbsd0:amd64 0.8.3-1
2018-03-13 23:56:49 configure libprocps6:amd64 2:3.3.12-3 <none>
2018-03-13 23:56:49 status unpacked libprocps6:amd64 2:3.3.12-3
2018-03-13 23:56:49 status half-configured libprocps6:amd64 2:3.3.12-3
2018-03-13 23:56:49 status installed libprocps6:amd64 2:3.3.12-3
2018-03-13 23:56:49 configure ucf:all 3.0036 <none>
2018-03-13 23:56:49 status unpacked ucf:all 3.0036
2018-03-13 23:56:49 status unpacked ucf:all 3.0036
2018-03-13 23:56:49 status half-configured ucf:all 3.0036
2018-03-13 23:56:49 status installed ucf:all 3.0036
2018-03-13 23:56:49 configure procps:amd64 2:3.3.12-3 <none>
2018-03-13 23:56:49 status unpacked procps:amd64 2:3.3.12-3
2018-03-13 23:56:49 status unpacked procps:amd64 2:3.3.12-3
2018-03-13 23:56:49 status unpacked procps:amd64 2:3.3.12-3
2018-03-13 23:56:49 status unpacked procps:amd64 2:3.3.12-3
2018-03-13 23:56:49 status half-configured procps:amd64 2:3.3.12-3
2018-03-13 23:56:49 status installed procps:amd64 2:3.3.12-3
2018-03-13 23:56:49 configure perl:amd64 5.24.1-3+deb9u2 <none>
2018-03-13 23:56:49 status unpacked perl:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:49 status unpacked perl:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:49 status unpacked perl:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:49 status half-configured perl:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:49 status installed perl:amd64 5.24.1-3+deb9u2
2018-03-13 23:56:49 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-03-13 23:56:49 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:50 status installed libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:50 configure libaprutil1:amd64 1.5.4-3 <none>
2018-03-13 23:56:50 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:50 status unpacked libaprutil1:amd64 1.5.4-3
2018-03-13 23:56:50 status half-configured libaprutil1:amd64 1.5.4-3
2018-03-13 23:56:50 status installed libaprutil1:amd64 1.5.4-3
2018-03-13 23:56:50 configure libpython2.7-stdlib:amd64 2.7.13-2+deb9u2 <none>
2018-03-13 23:56:50 status unpacked libpython2.7-stdlib:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:50 status half-configured libpython2.7-stdlib:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:50 status installed libpython2.7-stdlib:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:50 configure libedit2:amd64 3.1-20160903-3 <none>
2018-03-13 23:56:50 status unpacked libedit2:amd64 3.1-20160903-3
2018-03-13 23:56:50 status half-configured libedit2:amd64 3.1-20160903-3
2018-03-13 23:56:50 status installed libedit2:amd64 3.1-20160903-3
2018-03-13 23:56:50 configure liberror-perl:all 0.17024-1 <none>
2018-03-13 23:56:50 status unpacked liberror-perl:all 0.17024-1
2018-03-13 23:56:50 status half-configured liberror-perl:all 0.17024-1
2018-03-13 23:56:50 status installed liberror-perl:all 0.17024-1
2018-03-13 23:56:50 configure python2.7:amd64 2.7.13-2+deb9u2 <none>
2018-03-13 23:56:50 status unpacked python2.7:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:50 status half-configured python2.7:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:50 status installed python2.7:amd64 2.7.13-2+deb9u2
2018-03-13 23:56:50 configure libpython-stdlib:amd64 2.7.13-2 <none>
2018-03-13 23:56:50 status unpacked libpython-stdlib:amd64 2.7.13-2
2018-03-13 23:56:50 status half-configured libpython-stdlib:amd64 2.7.13-2
2018-03-13 23:56:50 status installed libpython-stdlib:amd64 2.7.13-2
2018-03-13 23:56:50 configure libserf-1-1:amd64 1.3.9-3 <none>
2018-03-13 23:56:50 status unpacked libserf-1-1:amd64 1.3.9-3
2018-03-13 23:56:50 status half-configured libserf-1-1:amd64 1.3.9-3
2018-03-13 23:56:50 status installed libserf-1-1:amd64 1.3.9-3
2018-03-13 23:56:50 configure libsvn1:amd64 1.9.5-1+deb9u1 <none>
2018-03-13 23:56:50 status unpacked libsvn1:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:50 status half-configured libsvn1:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:50 status installed libsvn1:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:50 configure openssh-client:amd64 1:7.4p1-10+deb9u3 <none>
2018-03-13 23:56:50 status unpacked openssh-client:amd64 1:7.4p1-10+deb9u3
2018-03-13 23:56:50 status unpacked openssh-client:amd64 1:7.4p1-10+deb9u3
2018-03-13 23:56:50 status unpacked openssh-client:amd64 1:7.4p1-10+deb9u3
2018-03-13 23:56:50 status half-configured openssh-client:amd64 1:7.4p1-10+deb9u3
2018-03-13 23:56:50 status installed openssh-client:amd64 1:7.4p1-10+deb9u3
2018-03-13 23:56:50 configure git:amd64 1:2.11.0-3+deb9u2 <none>
2018-03-13 23:56:50 status unpacked git:amd64 1:2.11.0-3+deb9u2
2018-03-13 23:56:50 status unpacked git:amd64 1:2.11.0-3+deb9u2
2018-03-13 23:56:50 status half-configured git:amd64 1:2.11.0-3+deb9u2
2018-03-13 23:56:50 status installed git:amd64 1:2.11.0-3+deb9u2
2018-03-13 23:56:50 configure python:amd64 2.7.13-2 <none>
2018-03-13 23:56:50 status unpacked python:amd64 2.7.13-2
2018-03-13 23:56:50 status half-configured python:amd64 2.7.13-2
2018-03-13 23:56:50 status installed python:amd64 2.7.13-2
2018-03-13 23:56:51 configure mercurial-common:all 4.0-1+deb9u1 <none>
2018-03-13 23:56:51 status unpacked mercurial-common:all 4.0-1+deb9u1
2018-03-13 23:56:51 status unpacked mercurial-common:all 4.0-1+deb9u1
2018-03-13 23:56:51 status unpacked mercurial-common:all 4.0-1+deb9u1
2018-03-13 23:56:51 status unpacked mercurial-common:all 4.0-1+deb9u1
2018-03-13 23:56:51 status half-configured mercurial-common:all 4.0-1+deb9u1
2018-03-13 23:56:51 status installed mercurial-common:all 4.0-1+deb9u1
2018-03-13 23:56:51 configure mercurial:amd64 4.0-1+deb9u1 <none>
2018-03-13 23:56:51 status unpacked mercurial:amd64 4.0-1+deb9u1
2018-03-13 23:56:51 status half-configured mercurial:amd64 4.0-1+deb9u1
2018-03-13 23:56:52 status installed mercurial:amd64 4.0-1+deb9u1
2018-03-13 23:56:52 configure python-six:all 1.10.0-3 <none>
2018-03-13 23:56:52 status unpacked python-six:all 1.10.0-3
2018-03-13 23:56:52 status half-configured python-six:all 1.10.0-3
2018-03-13 23:56:52 status installed python-six:all 1.10.0-3
2018-03-13 23:56:52 configure subversion:amd64 1.9.5-1+deb9u1 <none>
2018-03-13 23:56:52 status unpacked subversion:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:52 status unpacked subversion:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:52 status unpacked subversion:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:52 status half-configured subversion:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:52 status installed subversion:amd64 1.9.5-1+deb9u1
2018-03-13 23:56:52 configure python-configobj:all 5.0.6-2 <none>
2018-03-13 23:56:52 status unpacked python-configobj:all 5.0.6-2
2018-03-13 23:56:52 status half-configured python-configobj:all 5.0.6-2
2018-03-13 23:56:52 status installed python-configobj:all 5.0.6-2
2018-03-13 23:56:52 configure python-bzrlib:amd64 2.7.0+bzr6619-7+deb9u1 <none>
2018-03-13 23:56:52 status unpacked python-bzrlib:amd64 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:52 status half-configured python-bzrlib:amd64 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:53 status installed python-bzrlib:amd64 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:53 configure bzr:all 2.7.0+bzr6619-7+deb9u1 <none>
2018-03-13 23:56:53 status unpacked bzr:all 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:53 status half-configured bzr:all 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:53 status installed bzr:all 2.7.0+bzr6619-7+deb9u1
2018-03-13 23:56:53 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-03-13 23:56:53 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:53 status installed libc-bin:amd64 2.24-11+deb9u3
2018-03-14 11:08:59 startup archives unpack
2018-03-14 11:08:59 install bzip2:amd64 <none> 1.0.6-8.1
2018-03-14 11:08:59 status half-installed bzip2:amd64 1.0.6-8.1
2018-03-14 11:08:59 status unpacked bzip2:amd64 1.0.6-8.1
2018-03-14 11:08:59 status unpacked bzip2:amd64 1.0.6-8.1
2018-03-14 11:08:59 install xz-utils:amd64 <none> 5.2.2-1.2+b1
2018-03-14 11:08:59 status half-installed xz-utils:amd64 5.2.2-1.2+b1
2018-03-14 11:08:59 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2018-03-14 11:08:59 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2018-03-14 11:08:59 install unzip:amd64 <none> 6.0-21
2018-03-14 11:08:59 status half-installed unzip:amd64 6.0-21
2018-03-14 11:09:00 status triggers-pending mime-support:all 3.60
2018-03-14 11:09:00 status unpacked unzip:amd64 6.0-21
2018-03-14 11:09:00 status unpacked unzip:amd64 6.0-21
2018-03-14 11:09:00 startup packages configure
2018-03-14 11:09:00 trigproc mime-support:all 3.60 <none>
2018-03-14 11:09:00 status half-configured mime-support:all 3.60
2018-03-14 11:09:00 status installed mime-support:all 3.60
2018-03-14 11:09:00 configure unzip:amd64 6.0-21 <none>
2018-03-14 11:09:00 status unpacked unzip:amd64 6.0-21
2018-03-14 11:09:00 status half-configured unzip:amd64 6.0-21
2018-03-14 11:09:00 status installed unzip:amd64 6.0-21
2018-03-14 11:09:00 configure bzip2:amd64 1.0.6-8.1 <none>
2018-03-14 11:09:00 status unpacked bzip2:amd64 1.0.6-8.1
2018-03-14 11:09:00 status half-configured bzip2:amd64 1.0.6-8.1
2018-03-14 11:09:00 status installed bzip2:amd64 1.0.6-8.1
2018-03-14 11:09:00 configure xz-utils:amd64 5.2.2-1.2+b1 <none>
2018-03-14 11:09:00 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2018-03-14 11:09:00 status half-configured xz-utils:amd64 5.2.2-1.2+b1
2018-03-14 11:09:00 status installed xz-utils:amd64 5.2.2-1.2+b1
2018-03-19 21:23:01 startup archives unpack
2018-03-19 21:23:02 install libpng16-16:amd64 <none> 1.6.28-1
2018-03-19 21:23:02 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-03-19 21:23:02 status half-installed libpng16-16:amd64 1.6.28-1
2018-03-19 21:23:02 status unpacked libpng16-16:amd64 1.6.28-1
2018-03-19 21:23:02 status unpacked libpng16-16:amd64 1.6.28-1
2018-03-19 21:23:02 install libfreetype6:amd64 <none> 2.6.3-3.2
2018-03-19 21:23:02 status half-installed libfreetype6:amd64 2.6.3-3.2
2018-03-19 21:23:02 status unpacked libfreetype6:amd64 2.6.3-3.2
2018-03-19 21:23:02 status unpacked libfreetype6:amd64 2.6.3-3.2
2018-03-19 21:23:02 install fonts-dejavu-core:all <none> 2.37-1
2018-03-19 21:23:02 status half-installed fonts-dejavu-core:all 2.37-1
2018-03-19 21:23:02 status unpacked fonts-dejavu-core:all 2.37-1
